train_cutoff,horizon_days,mae_approve,mae_disapprove,coverage_approve,coverage_disapprove
2025-01-27,28,1.9639632623021264,3.23648034778527,0.9642857142857143,0.6428571428571429
2025-02-03,28,1.9192893066858911,2.610898232892437,0.9642857142857143,1.0
2025-02-10,28,2.1313705060519528,2.8109476877384094,0.9642857142857143,0.9285714285714286
2025-02-17,27,2.232632918785003,3.1577670160447755,0.9259259259259259,0.8518518518518519
2025-02-24,27,2.0291541849510804,1.7456336720316556,0.9629629629629629,1.0
2025-03-03,26,2.085842875063345,1.272596321340073,0.9615384615384616,1.0
2025-03-10,26,2.2997171025648995,1.5239700000669332,0.9615384615384616,1.0
2025-03-17,27,2.7361820374170143,1.6742993560579167,0.8888888888888888,0.9259259259259259
2025-03-24,28,2.914400839158432,2.02593287423272,0.8214285714285714,0.8571428571428571
2025-03-31,28,3.2107722895398103,2.952019389821157,0.75,0.8214285714285714
2025-04-07,29,2.195310797666129,1.9124146506586157,0.896551724137931,0.8620689655172413
2025-04-14,28,1.9945112299539745,1.817144237132514,0.9642857142857143,0.9285714285714286
2025-04-21,27,2.0314912932507814,1.9067541243264066,0.9629629629629629,1.0
2025-04-28,27,3.2802573509584287,3.041099545982187,0.7777777777777778,0.7777777777777778
2025-05-05,26,3.854285611895499,2.8308535770786056,0.6538461538461539,0.9230769230769231
2025-05-12,26,2.5512134490925296,2.3273168538807303,0.9230769230769231,0.8846153846153846
2025-05-19,27,2.408391992291251,2.0779513407259986,0.9629629629629629,0.9259259259259259
2025-05-26,27,2.2272484653362175,2.1462566710065647,0.8518518518518519,0.8888888888888888
2025-06-02,28,2.6271079726271975,2.817109630570088,0.8571428571428571,0.8571428571428571
2025-06-09,27,1.8939700183429304,2.0529597393076107,0.9629629629629629,0.9259259259259259
2025-06-16,26,2.039798202984314,1.76204382909242,0.9230769230769231,0.9615384615384616
2025-06-23,26,2.1718073898434587,2.1901347160648434,0.9615384615384616,0.9615384615384616
2025-06-30,25,2.3606576398341534,2.189041597118612,0.92,0.96
2025-07-07,24,2.3933721224217526,2.211396576177126,0.9166666666666666,0.9166666666666666
2025-07-14,25,2.0173098234817863,1.8128720475528919,0.92,1.0
2025-07-21,25,1.8330117220524453,1.9106297726009054,0.92,1.0
2025-07-28,25,1.827640860987798,2.01982530023257,1.0,1.0
